basvuru_id,kombinasyon_kodu,meslek,konaklama,ulasim,bolge,cocuklu,profil_tipi,yas,cinsiyet,seyahat_suresi_gun,onceki_schengen,onceki_ret,pas_gecerlilik_gun,pas_bos_sayfa,sig_teminat_eur,sig_schengen_kapsamli,sig_gidis_oncesi_var,sig_donus_sonrasi_var,sig_eur_belirtilmis,banka_son_bakim_gun,banka_kase_imza_var,banka_bakiye_eur,banka_6ay_duzenli,banka_trend,banka_ani_para,form_imzali_tarihli,form_adres_var,form_telefon_sahip,form_seyahat_tarihi_tutarli,bildirge_gelir_beyan,bildirge_seyahat_arkadasi,rez_yolcu_adlari_tam,rez_tarih_tutarli,rez_donus_bileti_var,konal_tum_isimler_var,meslek_antelli_kagit,meslek_kase_imza,meslek_belge_yasi_gun,faaliyet_yasi_gun,faaliyet_kaynak,faaliyet_kase_var,imza_sirkuleri_var,SKOR_PASAPORT,SKOR_SIGORTA,SKOR_BANKA,SKOR_BASVURU_FORMU,SKOR_BILDIRGE,SKOR_ULASIM,SKOR_KONAKLAMA,SKOR_MESLEK,SKOR_MUVAFAKATNAME,ort_skor,min_skor,n_kritik,n_yuksek,n_orta,onay_olasiligi,etiket,etiket_aciklama,muv_noter_onayli,muv_her_iki_ebeveyn,muv_gecerlilik_gun,yesil_kart_var,davet_renkli_cikti,davet_oturma_izni_var,muv_apostille_var
a0183ff8,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,riskli,56,Kadın,18,1,0,351,7,39299,True,True,True,True,11,True,825.91,False,azalan,False,True,True,True,True,True,True,True,True,False,True,True,True,55.0,120.0,resmi,False,True,1.0,1.0,0.2,1.0,1.0,0.8,1.0,0.8,,0.85,0.2,1,4,0,0.377,1,Onay,,,,,,,
005ea72c,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,51,Kadın,18,4,1,370,7,45554,True,True,True,True,8,True,1541.41,False,artan,False,True,True,True,True,True,True,False,True,True,True,True,True,75.0,1.0,resmi,True,True,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,,0.95,0.8,0,2,0,0.721,0,Ret — Maddi Gelir / Banka Dökümü: skor 0.80,,,,,,,
89495216,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,46,Kadın,21,4,0,229,2,51917,True,True,True,True,10,True,3248.71,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,70.0,75.0,web,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,,0.975,0.8,0,1,0,0.785,1,Onay,,,,,,,
0db81263,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,35,Erkek,4,6,0,332,20,45238,True,True,True,True,2,True,4965.19,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,73.0,12.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
43a2c148,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,41,Kadın,7,5,1,514,6,54045,True,True,True,True,8,True,11772.31,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,36.0,17.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
002d36f8,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,riskli,62,Kadın,19,1,0,64,9,49056,True,True,True,True,6,True,343.82,False,azalan,False,False,True,True,True,False,True,True,True,True,True,False,False,23.0,23.0,resmi,True,True,0.6,1.0,0.2,0.6,0.8,1.0,1.0,0.2,0.6,0.667,0.2,6,3,0,0.174,0,Ret — Maddi Gelir / Banka Dökümü: skor 0.20,True,True,187.0,,,,
43822487,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,riskli,54,Kadın,19,1,0,584,1,16070,True,False,True,False,34,True,176.66,False,stabil,False,True,True,True,True,True,True,True,True,True,False,True,False,28.0,3.0,web,True,False,0.6,0.0,0.0,1.0,1.0,1.0,0.8,0.6,0.6,0.622,0.0,7,3,0,0.158,0,Ret — Seyahat Sağlık Sigortası: skor 0.00,False,True,38.0,,,,
336a1c93,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,ideal,37,Kadın,6,7,0,493,20,36482,True,True,True,True,2,True,12511.54,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,False,74.0,1.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.956,0.6,1,0,0,0.708,1,Onay,True,True,84.0,,,,
367c786f,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,ideal,46,Kadın,19,2,0,260,5,40807,True,True,True,True,1,True,6774.21,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,57.0,16.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,1,Onay,True,True,71.0,,,,
8dd8b100,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,ideal,54,Erkek,18,2,0,456,10,45810,True,True,True,True,9,True,4638.1,True,stabil,False,True,True,True,False,True,True,True,True,True,True,True,True,49.0,11.0,resmi,True,True,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.978,0.8,0,1,0,0.786,1,Onay,True,True,41.0,,,,
9a95bd5f,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,46,Kadın,8,3,0,584,5,44427,True,True,False,True,3,False,2910.12,True,stabil,False,False,True,True,True,True,True,True,True,True,True,True,True,30.0,14.0,resmi,True,True,1.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.867,0.6,3,0,0,0.546,0,Ret — Seyahat Sağlık Sigortası: skor 0.60,True,True,4.0,,,,
c5298026,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,riskli,36,Kadın,15,1,0,300,7,32587,True,True,True,True,4,True,328.58,False,azalan,False,True,True,True,True,True,True,True,True,True,True,False,True,31.0,12.0,resmi,True,True,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.6,1.0,0.867,0.2,2,2,0,0.356,1,Onay,True,True,73.0,,,,
c7c09f08,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,riskli,21,Kadın,13,0,0,187,6,59602,True,False,True,False,3,False,365.6,True,azalan,False,True,True,True,True,True,True,True,True,True,True,True,False,19.0,8.0,resmi,True,True,1.0,0.4,0.0,1.0,1.0,1.0,1.0,0.6,1.0,0.778,0.0,4,2,0,0.202,0,Ret — Maddi Gelir / Banka Dökümü: skor 0.00,True,True,51.0,,,,
b06efa11,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,51,Kadın,12,4,1,571,9,50301,True,True,True,True,42,True,2692.91,True,artan,True,False,True,True,True,True,True,True,True,True,True,True,True,13.0,20.0,resmi,True,False,1.0,1.0,0.52,0.6,1.0,1.0,1.0,1.0,1.0,0.902,0.52,2,0,1,0.593,1,Onay,True,True,47.0,,,,
b8d26028,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,56,Kadın,5,3,1,152,16,36950,True,True,False,True,3,True,1354.06,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,46.0,8.0,resmi,False,True,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956,0.6,1,0,0,0.69,1,Onay,True,True,9.0,,,,
85244cc6,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,riskli,50,Erkek,18,2,0,112,18,51080,True,False,True,True,8,True,499.21,True,artan,False,False,True,True,True,True,True,True,True,True,True,False,True,71.0,7.0,resmi,True,True,1.0,0.6,0.6,0.6,1.0,1.0,1.0,0.6,1.0,0.822,0.6,4,0,0,0.33,0,Ret — Seyahat Sağlık Sigortası: skor 0.60,True,True,41.0,,,,
7cdbdb26,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,45,Erkek,19,0,0,137,13,48231,True,True,True,True,14,True,2825.77,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,72.0,115.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.978,0.8,0,1,0,0.775,1,Onay,True,True,1.0,,,,
863472e9,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,ideal,49,Kadın,6,3,0,361,15,35157,True,True,True,True,1,True,12053.23,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,8.0,69.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,1,Onay,True,True,56.0,,,,
c19ebd3f,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,36,Kadın,6,3,0,325,12,48789,True,True,True,True,3,True,2468.94,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,45.0,21.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,1,Onay,True,True,84.0,,,,
368e6bc9,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,kritik_sorunlu,58,Kadın,18,1,0,411,16,22245,True,True,True,True,30,True,41.62,True,azalan,False,True,True,True,True,True,True,True,True,True,True,True,True,98.0,11.0,resmi,False,True,1.0,0.6,0.0,1.0,1.0,1.0,1.0,0.8,0.6,0.778,0.0,4,2,0,0.07,0,Ret — Maddi Gelir / Banka Dökümü: skor 0.00,False,True,68.0,,,,
b0224553,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,39,Kadın,16,5,1,116,12,33096,True,True,True,True,10,True,7000.34,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,68.0,22.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
f9c5b9cf,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,52,Kadın,10,3,0,241,5,47687,True,True,True,True,3,True,4851.03,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,25.0,19.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
5108dfd0,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,orta,32,Erkek,8,2,0,537,5,46905,True,True,True,True,3,True,1047.63,True,stabil,False,True,True,True,True,True,True,True,True,False,True,True,True,151.0,5.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,,0.95,0.8,0,2,0,0.76,1,Onay,,,,,,,
86d78d2d,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,34,Erkek,21,7,2,146,9,31564,True,True,True,True,8,True,3197.22,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,61.0,13.0,resmi,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,,0.975,0.8,0,1,0,0.785,1,Onay,,,,,,,
82eeedfa,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,51,Erkek,14,3,0,263,7,52435,True,True,True,True,13,True,3443.81,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,56.0,24.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
5fefac31,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,orta,45,Kadın,6,3,0,599,19,33361,True,True,True,True,12,True,2007.25,True,stabil,False,True,True,True,False,True,True,True,True,True,False,True,True,17.0,113.0,resmi,True,True,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.8,,0.925,0.8,0,3,0,0.736,1,Onay,,,,,,,
3e401007,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,orta,45,Kadın,18,0,0,293,10,33717,False,True,True,True,40,True,2004.94,True,artan,False,True,True,True,True,True,True,False,True,True,True,True,False,39.0,23.0,resmi,True,True,1.0,0.6,0.6,1.0,1.0,0.8,1.0,0.6,,0.825,0.6,3,1,0,0.488,1,Onay,,,,,,,
520eb8c8,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,34,Erkek,11,8,1,373,16,48076,True,True,True,True,8,True,12229.97,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,20.0,6.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
479173c0,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,riskli,23,Kadın,10,2,0,69,4,35525,True,True,True,True,6,True,607.26,True,azalan,True,True,True,True,True,True,True,True,True,True,True,True,True,39.0,23.0,web,True,True,0.6,1.0,0.72,1.0,1.0,1.0,1.0,1.0,,0.915,0.6,1,1,1,0.536,0,Ret — Pasaport: skor 0.60,,,,,,,
e24b76ca,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,orta,42,Kadın,15,3,0,353,12,34014,True,True,True,True,10,True,3399.25,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,127.0,21.0,resmi,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,,0.95,0.6,0,2,0,0.724,1,Onay,,,,,,,
5109fa6e,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,36,Kadın,16,4,0,381,13,32409,True,True,True,True,10,True,14700.99,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,41.0,20.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
20f27047,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,orta,58,Kadın,19,0,0,146,20,59450,True,True,False,True,13,True,2361.88,True,azalan,False,True,True,True,True,True,True,True,True,True,True,True,True,65.0,16.0,resmi,True,False,1.0,0.6,0.8,1.0,1.0,1.0,1.0,0.8,,0.9,0.6,1,2,0,0.625,1,Onay,,,,,,,
e3e1289a,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,ideal,38,Kadın,20,5,1,325,12,52146,True,True,True,True,4,True,6348.08,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,45.0,5.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
6cfab13f,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,orta,38,Kadın,10,1,0,446,5,49229,True,False,True,True,2,True,2736.87,False,stabil,True,True,True,True,True,True,True,True,True,True,True,True,False,69.0,2.0,resmi,True,True,1.0,0.6,0.72,1.0,1.0,1.0,1.0,0.6,,0.865,0.6,2,1,1,0.571,1,Onay,,,,,,,
cbfaf628,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,riskli,43,Kadın,9,2,0,94,5,40978,True,True,True,True,14,True,345.55,True,artan,False,True,True,False,True,True,True,False,True,True,True,True,True,13.0,48.0,resmi,True,False,1.0,1.0,0.6,0.8,1.0,0.8,1.0,0.8,,0.875,0.6,1,3,0,0.486,1,Onay,,,,,,,
dc9954e7,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,orta,39,Kadın,13,4,0,274,3,45250,True,True,True,True,5,True,2524.52,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,11.0,17.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.956,0.6,1,0,0,0.708,1,Onay,False,True,74.0,,,,
7ef174e8,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,ideal,55,Kadın,7,7,0,340,18,31823,True,True,True,True,13,True,3261.25,True,azalan,False,True,True,True,True,True,True,True,True,True,True,True,True,54.0,13.0,resmi,True,True,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.8,0,1,0,0.786,1,Onay,True,True,18.0,,,,
5b3cae7d,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,ideal,33,Kadın,20,3,0,477,11,53563,True,True,True,True,5,True,13502.5,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,8.0,10.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,1,Onay,True,True,31.0,,,,
8a062d41,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,ideal,49,Erkek,17,4,1,575,7,43998,True,True,True,True,9,True,7995.9,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,58.0,3.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,1,Onay,True,True,10.0,,,,
c107b5bb,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,riskli,64,Erkek,19,0,0,555,0,33844,True,True,True,True,7,True,596.87,True,artan,False,True,True,True,True,False,True,True,True,True,True,True,True,19.0,101.0,resmi,True,True,0.6,1.0,0.6,1.0,0.8,1.0,1.0,0.8,0.6,0.822,0.6,3,2,0,0.338,1,Onay,False,True,32.0,,,,
743076c3,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,orta,43,Kadın,19,3,1,497,6,46001,True,True,True,True,14,True,3352.01,True,stabil,False,True,True,True,False,True,True,True,True,True,True,True,False,2.0,66.0,resmi,True,True,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6,1.0,0.933,0.6,1,1,0,0.661,1,Onay,True,True,23.0,,,,
f080aa5e,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,ideal,32,Erkek,10,6,2,271,14,43304,True,True,True,True,2,True,13298.63,True,artan,False,True,True,False,True,True,True,True,True,True,True,True,True,73.0,2.0,resmi,True,True,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.978,0.8,0,1,0,0.786,1,Onay,True,True,41.0,,,,
457f8475,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,ideal,32,Kadın,6,4,0,380,14,47713,True,True,True,True,9,True,7150.31,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,49.0,20.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,1,Onay,True,True,20.0,,,,
df14c5f3,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,ideal,31,Erkek,4,4,1,228,4,44707,True,True,True,True,10,True,6893.16,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,62.0,12.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.846,0,Ret — Pasaport: skor 1.00,True,True,39.0,,,,
f072710d,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,orta,61,Kadın,14,3,1,511,6,49766,True,True,True,True,5,True,2508.84,True,stabil,False,True,True,True,True,True,True,True,True,False,True,True,True,9.0,14.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.978,0.8,0,1,0,0.779,1,Onay,True,True,49.0,,,,
496fa6f3,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,kritik_sorunlu,48,Kadın,21,1,0,274,19,59963,False,True,True,True,1,True,265.11,True,stabil,False,True,False,False,False,True,True,True,False,True,True,True,True,94.0,10.0,resmi,True,False,1.0,0.6,0.6,0.4,1.0,0.8,1.0,0.6,0.2,0.689,0.2,4,6,0,0.051,0,Ret — Muvafakatname: skor 0.20,True,False,149.0,,,,
9130dca7,IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,orta,44,Kadın,7,3,1,243,0,20620,True,True,True,True,3,True,1693.67,True,artan,False,True,True,True,True,True,True,True,True,False,True,True,True,74.0,99.0,web,True,True,0.6,0.6,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0.867,0.6,2,2,0,0.55,1,Onay,True,True,82.0,,,,
